nominal,data,curs,cdx
1,3/24/2015,15.5027,Польский злотый
1,3/25/2015,15.7104,Польский злотый
1,3/26/2015,15.3764,Польский злотый
1,3/27/2015,15.2497,Польский злотый
1,3/28/2015,15.2582,Польский злотый
1,3/31/2015,15.4930,Польский злотый
1,4/1/2015,15.1647,Польский злотый
1,4/2/2015,15.4016,Польский злотый
1,4/3/2015,15.1966,Польский злотый
1,4/4/2015,15.1447,Польский злотый
1,4/7/2015,15.2734,Польский злотый
1,4/8/2015,14.8254,Польский злотый
1,4/9/2015,14.5257,Польский злотый
1,4/10/2015,14.0514,Польский злотый
1,4/11/2015,13.4868,Польский злотый
1,4/14/2015,13.7695,Польский злотый
1,4/15/2015,13.7122,Польский злотый
1,4/16/2015,13.3272,Польский злотый
1,4/17/2015,13.1603,Польский злотый
1,4/18/2015,13.5334,Польский злотый
1,4/21/2015,13.8166,Польский злотый
1,4/22/2015,14.4626,Польский злотый
1,4/23/2015,14.4255,Польский злотый
1,4/24/2015,13.7816,Польский злотый
1,4/25/2015,13.6486,Польский злотый
1,4/28/2015,13.8413,Польский злотый
1,4/29/2015,14.1865,Польский злотый
1,4/30/2015,14.2127,Польский злотый
1,5/1/2015,14.2357,Польский злотый
1,5/6/2015,14.2374,Польский злотый
1,5/7/2015,13.8599,Польский злотый
1,5/8/2015,14.0424,Польский злотый
1,5/9/2015,14.0651,Польский злотый
1,5/13/2015,13.9663,Польский злотый
1,5/14/2015,13.6502,Польский злотый
1,5/15/2015,13.9383,Польский злотый
1,5/16/2015,14.0446,Польский злотый
1,5/19/2015,13.8504,Польский злотый
1,5/20/2015,13.6000,Польский злотый
1,5/21/2015,13.6327,Польский злотый
1,5/22/2015,13.6495,Польский злотый
1,5/23/2015,13.5775,Польский злотый
1,5/26/2015,13.2875,Польский злотый
1,5/27/2015,13.2864,Польский злотый
1,5/28/2015,13.4896,Польский злотый
1,5/29/2015,13.8266,Польский злотый
1,5/30/2015,14.0363,Польский злотый
1,6/2/2015,13.9876,Польский злотый
1,6/3/2015,14.1754,Польский злотый
1,6/4/2015,14.3329,Польский злотый
1,6/5/2015,14.8938,Польский злотый
1,6/6/2015,15.2054,Польский злотый
1,6/9/2015,15.0146,Польский злотый
1,6/10/2015,15.1321,Польский злотый
